epoch,acc,loss,val_acc,val_loss
0,0.55,0.8255202174186707,0.58,0.7186682844161987
1,0.573125,0.6744669818878174,0.5675,0.6612145066261291
2,0.619375,0.6534314596652985,0.5825,0.6514032101631164
3,0.62875,0.6269485521316528,0.61,0.6475338959693908
4,0.6775,0.5944335532188415,0.655,0.6103890037536621
5,0.7025,0.5728704595565796,0.685,0.569431209564209
6,0.71,0.5455490362644195,0.6775,0.557033965587616
7,0.72875,0.5152526473999024,0.68,0.5407613253593445
8,0.74625,0.49310555517673493,0.7,0.5409577178955078
9,0.726875,0.5261370754241943,0.6875,0.5454743432998658
10,0.75125,0.48816600918769837,0.69,0.5449785518646241
11,0.7575,0.4702515083551407,0.6775,0.5649094343185425
12,0.770625,0.4615941727161407,0.6875,0.5411056089401245
13,0.778125,0.44727705776691434,0.7025,0.5656876850128174
14,0.785625,0.4299143499135971,0.6875,0.5527364635467529
15,0.7975,0.4202709648013115,0.69,0.5881116247177124
16,0.80875,0.399094985127449,0.6925,0.5791488909721374
17,0.81375,0.3891786521673202,0.6775,0.5925764203071594
18,0.816875,0.3937156307697296,0.685,0.6014088034629822
19,0.8275,0.36844732373952865,0.6675,0.5993931078910828
20,0.85,0.340361165702343,0.6775,0.6546141386032105
21,0.8475,0.33670115768909453,0.6775,0.5987128305435181
22,0.865,0.3141134977340698,0.6575,0.6542453074455261
23,0.860625,0.3211565053462982,0.6625,0.6304812335968017
24,0.87625,0.29272701889276503,0.6675,0.6868533778190613
25,0.87,0.28329118266701697,0.665,0.670820164680481
26,0.8875,0.2671792443096638,0.6875,0.7144077491760253
27,0.890625,0.27248347669839856,0.6675,0.7028689980506897
28,0.890625,0.26669480830430986,0.685,0.7110532236099243
29,0.900625,0.2434764650464058,0.68,0.7767435598373413
