epoch,acc,loss,val_acc,val_loss
0,0.5834375,0.7542492336034775,0.66625,0.6306152248382568
1,0.7228125,0.5332545924186707,0.73875,0.5154984724521637
2,0.7971875,0.43793078750371933,0.8125,0.4143670010566711
3,0.830625,0.37050991609692574,0.8475,0.35295676231384276
4,0.869375,0.3012077091634274,0.85875,0.30717466652393344
5,0.875625,0.2769418312609196,0.88375,0.2783188796043396
6,0.8934375,0.23568270951509476,0.885,0.2748585295677185
7,0.905,0.224902602173388,0.8875,0.27063495725393294
8,0.9253125,0.19510292418301106,0.89625,0.24721962958574295
9,0.930625,0.17096542071551085,0.89,0.23798535287380218
10,0.941875,0.15950626533478499,0.895,0.2540044090151787
11,0.9465625,0.14004418324679135,0.885,0.28230578035116194
12,0.9578125,0.11707787156105041,0.9075,0.25684669315814973
13,0.955625,0.11598954271525144,0.91375,0.2414938747882843
14,0.9703125,0.08649893883615732,0.9175,0.2222209431231022
15,0.970625,0.08479094587266445,0.8875,0.29925914242863655
16,0.971875,0.08100871400907636,0.91375,0.23266713544726372
17,0.983125,0.05812339265830815,0.9025,0.24416064143180846
18,0.9846875,0.05720371823757887,0.91875,0.24315256580710412
19,0.9753125,0.07956029372289777,0.9,0.26938888400793076
20,0.9821875,0.056197308506816625,0.925,0.22425037819892168
21,0.9809375,0.05254963515792042,0.8975,0.3715762668848038
22,0.985,0.04829596754163504,0.925,0.26521101258695123
23,0.9928125,0.028468812303617596,0.92,0.2344573514163494
24,0.99375,0.0275357401301153,0.9125,0.27589551731944084
25,0.995,0.02238814168376848,0.91625,0.2715226062014699
26,0.994375,0.019350081483135,0.9125,0.3314169301837683
27,0.9925,0.028916288597974925,0.91875,0.3409084843844175
28,0.994375,0.02163253661681665,0.92,0.30441268218681217
29,0.9959375,0.018706059232354164,0.91875,0.2899012700468302
